patient_id,stromal,neoplastic,inflammatory,benign epithelial,necrotic,no label
TCGA-G9-6377-01Z-00-DX1,119451,18746,15864,6390,2611,581
TCGA-EJ-7314-01Z-00-DX1,585276,695944,74851,25372,13315,7935
TCGA-G9-6347-01Z-00-DX1,340411,85078,59530,17532,5821,1883
TCGA-G9-6363-01Z-00-DX1,310166,121340,16942,797,4992,4838
TCGA-HC-8258-01Z-00-DX1,68123,92895,9703,3883,5464,2026
TCGA-KK-A8I8-01Z-00-DX1,42338,48194,8864,5099,737,768
TCGA-EJ-7793-01Z-00-DX1,194671,461828,20568,17392,5624,3217
TCGA-2A-AAYU-01Z-00-DX1,726955,680689,155604,144547,6635,9212
TCGA-V1-A8ML-01Z-00-DX1,15222,7584,3343,873,208,151
TCGA-YL-A8HJ-01Z-00-DX1,155499,142220,37072,11632,3647,1897
TCGA-KK-A8I5-01Z-00-DX1,272003,255056,40902,15829,3997,3159
TCGA-CH-5765-01Z-00-DX1,94781,145344,23376,3531,4143,4685
TCGA-HC-8262-01Z-00-DX1,28500,52083,1158,499,1120,2799
TCGA-EJ-7792-01Z-00-DX1,147860,72994,15486,6355,3053,2413
TCGA-V1-A8MJ-01Z-00-DX1,21536,12132,1769,701,181,287
TCGA-HC-A8D0-01Z-00-DX1,92950,146822,12007,8322,4950,3038
TCGA-XK-AAJ3-01Z-00-DX1,72263,139626,19832,18332,2035,2154
TCGA-V1-A9O7-01Z-00-DX1,148736,34415,34217,28694,3074,982
TCGA-WW-A8ZI-01Z-00-DX6,145479,173501,31789,4743,4975,2136
TCGA-EJ-5542-01Z-00-DX1,375024,750964,37327,42379,9471,6940
TCGA-FC-7961-01Z-00-DX1,206620,106014,24567,5448,5080,3027
TCGA-XQ-A8TA-01Z-00-DX1,353415,1775276,234079,27205,71708,28968
TCGA-KK-A6E7-01Z-00-DX1,190568,104694,42872,47525,3407,1990
TCGA-HC-A6HY-01Z-00-DX1,5186,13772,548,632,575,272
TCGA-HC-7737-01Z-00-DX1,20435,27983,1216,3695,1017,807
TCGA-J4-A6G1-01Z-00-DX1,280410,372557,188434,64846,6602,7196
TCGA-G9-6370-01Z-00-DX1,262698,188632,43249,5457,6267,3036
TCGA-HC-A6AS-01Z-00-DX1,19542,22563,4309,5313,1212,743
TCGA-EJ-5525-01Z-00-DX1,269755,959122,89203,15218,15122,5225
TCGA-V1-A9ZG-01Z-00-DX1,442856,163465,36406,18285,3957,2086
TCGA-Y6-A9XI-01Z-00-DX4,64123,188255,12101,2555,1486,5213
TCGA-EJ-7789-01Z-00-DX1,57661,58504,25656,10714,2189,1108
TCGA-EJ-5499-01Z-00-DX1,606282,1273245,82142,65290,16779,10077
TCGA-G9-6342-01Z-00-DX1,122120,88605,11079,3153,3242,1755
TCGA-V1-A9OY-01Z-00-DX1,337579,273144,220948,27137,6084,8888
TCGA-J4-A83K-01Z-00-DX1,280437,295601,16595,33849,1475,7472
TCGA-KK-A7AY-01Z-00-DX1,358655,414995,56759,24722,4794,4335
